ride_name,ride_id,bike,ride_distance,ride_moving_time,ride_elapsed_time,ride_elevation_gain,ride_start_time,segment_id
Mountain Top Ride,59116770,,9932.90 m,0 days 00:54:03.000000000,0 days 01:03:52.000000000,264.40 m,2013-06-08 17:22:55,1370940
Mountain Top Ride,59116770,,9932.90 m,0 days 00:54:03.000000000,0 days 01:03:52.000000000,264.40 m,2013-06-08 17:22:55,15316909
Mountain Top Ride,59116770,,9932.90 m,0 days 00:54:03.000000000,0 days 01:03:52.000000000,264.40 m,2013-06-08 17:22:55,2127168
Mountain Top Ride,59116770,,9932.90 m,0 days 00:54:03.000000000,0 days 01:03:52.000000000,264.40 m,2013-06-08 17:22:55,1169578
Mountain Top Ride,59116770,,9932.90 m,0 days 00:54:03.000000000,0 days 01:03:52.000000000,264.40 m,2013-06-08 17:22:55,4291122
Mountain Top Ride,59116770,,9932.90 m,0 days 00:54:03.000000000,0 days 01:03:52.000000000,264.40 m,2013-06-08 17:22:55,17426574
Mountain Top Ride,59116770,,9932.90 m,0 days 00:54:03.000000000,0 days 01:03:52.000000000,264.40 m,2013-06-08 17:22:55,10347976
Mountain Top Ride,59116770,,9932.90 m,0 days 00:54:03.000000000,0 days 01:03:52.000000000,264.40 m,2013-06-08 17:22:55,8491686
Mountain Top Ride,59116770,,9932.90 m,0 days 00:54:03.000000000,0 days 01:03:52.000000000,264.40 m,2013-06-08 17:22:55,4291148
Mountain Top Ride,59116770,,9932.90 m,0 days 00:54:03.000000000,0 days 01:03:52.000000000,264.40 m,2013-06-08 17:22:55,1304682
Mountain Top Ride,59116770,,9932.90 m,0 days 00:54:03.000000000,0 days 01:03:52.000000000,264.40 m,2013-06-08 17:22:55,7472713
Mountain Top Ride,59116770,,9932.90 m,0 days 00:54:03.000000000,0 days 01:03:52.000000000,264.40 m,2013-06-08 17:22:55,4292005
Mountain Top Ride,59116770,,9932.90 m,0 days 00:54:03.000000000,0 days 01:03:52.000000000,264.40 m,2013-06-08 17:22:55,15625408
Mountain Top Ride,59116770,,9932.90 m,0 days 00:54:03.000000000,0 days 01:03:52.000000000,264.40 m,2013-06-08 17:22:55,744400
Mountain Top Ride,59116770,,9932.90 m,0 days 00:54:03.000000000,0 days 01:03:52.000000000,264.40 m,2013-06-08 17:22:55,15350864
Mountain Top Ride,59116770,,9932.90 m,0 days 00:54:03.000000000,0 days 01:03:52.000000000,264.40 m,2013-06-08 17:22:55,16438117
Mountain Top Ride,59116770,,9932.90 m,0 days 00:54:03.000000000,0 days 01:03:52.000000000,264.40 m,2013-06-08 17:22:55,17427870
To Haneys,60586379,,29072.30 m,0 days 01:10:47.000000000,0 days 01:16:24.000000000,104.00 m,2013-06-15 16:41:10,1974679
To Haneys,60586379,,29072.30 m,0 days 01:10:47.000000000,0 days 01:16:24.000000000,104.00 m,2013-06-15 16:41:10,1679362
To Haneys,60586379,,29072.30 m,0 days 01:10:47.000000000,0 days 01:16:24.000000000,104.00 m,2013-06-15 16:41:10,8885371
To Haneys,60586379,,29072.30 m,0 days 01:10:47.000000000,0 days 01:16:24.000000000,104.00 m,2013-06-15 16:41:10,10266845
To Haneys,60586379,,29072.30 m,0 days 01:10:47.000000000,0 days 01:16:24.000000000,104.00 m,2013-06-15 16:41:10,11991850
To Haneys,60586379,,29072.30 m,0 days 01:10:47.000000000,0 days 01:16:24.000000000,104.00 m,2013-06-15 16:41:10,2014757
To Haneys,60586379,,29072.30 m,0 days 01:10:47.000000000,0 days 01:16:24.000000000,104.00 m,2013-06-15 16:41:10,2521308
To Haneys,60586379,,29072.30 m,0 days 01:10:47.000000000,0 days 01:16:24.000000000,104.00 m,2013-06-15 16:41:10,9154480
To Haneys,60586379,,29072.30 m,0 days 01:10:47.000000000,0 days 01:16:24.000000000,104.00 m,2013-06-15 16:41:10,8627251
To Haneys,60586379,,29072.30 m,0 days 01:10:47.000000000,0 days 01:16:24.000000000,104.00 m,2013-06-15 16:41:10,18231622
To Haneys,60586379,,29072.30 m,0 days 01:10:47.000000000,0 days 01:16:24.000000000,104.00 m,2013-06-15 16:41:10,1654308
To Haneys,60586379,,29072.30 m,0 days 01:10:47.000000000,0 days 01:16:24.000000000,104.00 m,2013-06-15 16:41:10,4350553
To Haneys,60586379,,29072.30 m,0 days 01:10:47.000000000,0 days 01:16:24.000000000,104.00 m,2013-06-15 16:41:10,2238830
